回答No,"あなた自身の UpperLegLength （大腿骨の長さ）を計測して、その値を入力してください（任意）","あなた自身の StandingHeight （立位身長）を入力してください（任意）","資料p.61のモデルを用いて、hat{StandingHeight} （StandingHeight の予測値）を計算し、入力してください。（任意）","実際の StandingHeight から、予測された StandingHeight を引いた値を入力してください（StandingHeight - hat{StandingHeight}）","上の計算結果から2乗誤差の値（(StandingHeight - hat{StandingHeight})^2）を計算し、入力してください"
1,36.5,170.6,157.96,12.64,159.77
2,36,158,156.7,1.3,1.69
3,40.3,165.6,167.536,'-1.936,3.748096
4,43.5,166.8,175.6,'-8.8,77.44
5,,176,180,'-4,16
6,40,173,171,2,4
7,42.5,162.5,173.08,'-10.58,111.9364
8,39,158,164.26,6.26,39.19
9,45.3,185,47.2,4.9,24.01
10,35.6,164.9,155.692,9.208,84.787264
11,,,,7.5,56.25
12,38,155,161.74,6.74,45.4276
13,42,166,171.82,'-5.82,33.87
14,45.8,177.4,181.4,'-4,16
15,42,170,171.82,'-1.82,3.3124
16,38,154,162,8,64
17,46,161,181.9,'-20.9,436.81
